NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas s/religion,Personas Ocupadas,Personas S/Internet,Personas C/Servicio de Salud
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,28.0,0.0,28.0,15.0,0.0,15.0,4.0,20.0
Tabasco,1,Balancán,1,Balancán,0401,38.0,110.0,4.0,97.0,46.0,13.0,60.0,16.0,80.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,40.0,0.0,79.1235484742101,20.0,9.906078158222744,27.0,5.0,23.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,52.0,3.0,49.0,19.0,3.0,25.0,7.0,36.0
Tabasco,1,Balancán,1,Balancán,0401,37.0,120.0,4.0,112.0,46.0,8.0,67.0,27.0,72.0
Tabasco,1,Balancán,1,Balancán,0401,24.0,87.0,7.0,76.0,26.0,11.0,40.0,18.0,46.0
Tabasco,1,Balancán,1,Balancán,0401,11.0,44.0,3.0,36.0,16.0,7.0,20.0,4.0,23.0
Tabasco,1,Balancán,1,Balancán,0401,3.0,13.0,0.0,79.1235484742101,7.0,9.906078158222744,8.0,13.429552281504792,11.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,73.0,4.0,60.0,38.0,13.0,34.0,14.0,35.0
Tabasco,1,Balancán,1,Balancán,0401,24.0,81.0,6.0,77.0,35.0,4.0,27.0,18.0,40.0
Tabasco,1,Balancán,1,Balancán,0401,15.0,56.0,3.0,51.0,26.0,5.0,27.0,14.0,39.0
Tabasco,1,Balancán,1,Balancán,0401,8.0,39.0,0.0,39.0,18.0,0.0,22.0,9.0,14.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,29.0,0.0,27.0,12.0,9.906078158222744,21.0,6.0,14.0
Tabasco,1,Balancán,1,Balancán,0401,36.0,117.0,3.0,110.0,48.0,7.0,52.0,11.0,68.0
Tabasco,1,Balancán,1,Balancán,0401,35.0,126.0,8.0,123.0,49.0,3.0,56.0,26.0,121.0
Tabasco,1,Balancán,1,Balancán,0401,5.0,21.0,4.0,79.1235484742101,6.0,5.0,10.0,6.0,16.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,32.0,6.0,27.0,14.0,5.0,14.0,3.0,22.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,42.0,4.0,40.0,17.0,9.906078158222744,21.0,6.0,20.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,29.0,0.0,27.0,11.0,9.906078158222744,21.0,5.0,17.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,7.0,0.0,6.0,0.0,9.906078158222744,6.0,13.429552281504792,5.0
Tabasco,1,Balancán,1,Balancán,0401,31.772851503188583,105.0,5.0,93.0,42.0,12.0,48.0,17.0,80.0
Tabasco,1,Balancán,1,Balancán,0401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0401,5.0,12.0,0.0,11.0,6.0,9.906078158222744,7.0,13.429552281504792,9.0
Tabasco,1,Balancán,1,Balancán,0401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,54.0,3.0,54.0,23.0,0.0,23.0,8.0,28.0
Tabasco,1,Balancán,1,Balancán,0416,8.0,42.0,0.0,39.0,15.0,3.0,22.0,9.0,30.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,54.0,4.0,42.0,21.0,12.0,16.0,8.0,36.0
Tabasco,1,Balancán,1,Balancán,0416,10.0,31.0,0.0,28.0,11.0,3.0,13.0,0.0,28.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,55.0,4.0,45.0,27.0,10.0,34.0,8.0,44.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,46.0,4.0,45.0,18.0,9.906078158222744,21.0,11.0,33.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,75.0,5.0,71.0,30.0,4.0,43.0,10.0,48.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,16.0,0.0,14.0,9.0,9.906078158222744,8.0,13.429552281504792,10.0
Tabasco,1,Balancán,1,Balancán,0416,5.0,20.0,0.0,20.0,13.0,0.0,14.0,13.429552281504792,12.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,19.0,0.0,79.1235484742101,9.0,0.0,9.0,13.429552281504792,11.0
Tabasco,1,Balancán,1,Balancán,0416,32.0,115.0,4.0,101.0,43.0,14.0,56.0,15.0,74.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,18.0,0.0,15.0,10.0,3.0,7.0,13.429552281504792,13.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,83.0,5.0,80.0,40.0,3.0,35.0,17.0,54.0
Tabasco,1,Balancán,1,Balancán,0416,4.0,16.0,0.0,16.0,8.0,0.0,5.0,13.429552281504792,10.0
Tabasco,1,Balancán,1,Balancán,0416,4.0,33.0,0.0,79.1235484742101,16.0,0.0,20.0,3.0,31.0
Tabasco,1,Balancán,1,Balancán,0416,25.0,80.0,4.0,68.0,42.0,6.0,64.0,7.0,55.0
Tabasco,1,Balancán,1,Balancán,0416,6.0,31.0,3.0,29.0,12.0,9.906078158222744,11.0,6.0,30.0
Tabasco,1,Balancán,1,Balancán,0416,31.772851503188583,162.0,8.0,152.0,65.0,10.0,91.0,22.0,136.0
Tabasco,1,Balancán,1,Balancán,0416,38.0,114.0,5.0,112.0,44.0,0.0,61.0,13.0,88.0
Tabasco,1,Balancán,1,Balancán,0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0420,4.0,22.0,3.0,79.1235484742101,15.0,9.906078158222744,11.0,13.429552281504792,21.0
Tabasco,1,Balancán,1,Balancán,0420,11.0,50.0,5.0,41.0,19.0,9.0,24.0,4.0,43.0
Tabasco,1,Balancán,1,Balancán,0420,31.772851503188583,16.0,0.0,14.0,6.0,9.906078158222744,9.0,13.429552281504792,13.0
Tabasco,1,Balancán,1,Balancán,0420,29.0,83.0,3.0,76.0,38.0,7.0,43.0,16.0,77.0
