,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,Poblacion Total,Mujeres de 12-49,Poblacion de 0 a 5,Personas Casadas,Personas c/religion,Personas s/religion,Personas Ocupadas,Prom. Grado Escolar,Personas S/Internet,Personas C/Servicio de Salud
6,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
13,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,73,28,9,27,54,19,23,9.26,15,41
19,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
32,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
36,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
42,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
44,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
45,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
47,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
50,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,0,0,0,0,0,0,0,0.00,0,0
57,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo,0087,39,14,3,13,31,8,15,8.48,7,30
63,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1468,190,50,15,81,109,77,73,8.92,30,100
74,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1468,99,34,13,40,86,13,50,10.93,4,80
77,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1468,0,0,0,0,0,0,0,0.00,0,0
81,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1468,0,0,0,0,0,0,0,0.00,0,0
84,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1468,0,0,0,0,0,0,0,0.00,0,0
85,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1468,85,27,9,35,75,10,43,12.28,3,75
87,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1468,44,11,3,20,37,7,19,10.87,3,32
96,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1468,0,0,0,0,0,0,0,0.00,0,0
101,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1557,0,0,0,0,0,0,0,0.00,0,0
102,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1557,0,0,0,0,0,0,0,0.00,0,0
103,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1557,0,0,0,0,0,0,0,0.00,0,0
105,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1557,0,0,0,0,0,0,0,0.00,0,0
109,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1557,0,0,0,0,0,0,0,0.00,0,0
111,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1557,0,0,0,0,0,0,0,0.00,0,0
112,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1557,0,0,0,0,0,0,0,0.00,0,0
119,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1561,0,0,0,0,0,0,0,0.00,0,0
133,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1561,0,0,0,0,0,0,0,0.00,0,0
135,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1561,0,0,0,0,0,0,0,0.00,0,0
142,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1561,0,0,0,0,0,0,0,0.00,0,0
149,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1561,31,7,0,14,27,4,21,8.33,6,26
155,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1561,59,21,3,21,40,19,17,8.31,8,39
156,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1561,112,36,12,51,73,39,51,9.63,12,93
160,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1561,0,0,0,0,0,0,0,0.00,0,0
175,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1580,14,4,0,8,9,5,7,8.62,5,14
179,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1580,11,0,0,6,11,0,4,7.91,5,7
188,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1595,102,31,8,53,92,10,73,11.78,9,85
193,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1595,45,11,5,26,29,16,31,9.83,8,36
197,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1595,65,16,6,33,47,18,27,10.26,7,39
205,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1595,0,0,0,0,0,0,0,0.00,0,0
211,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1595,0,0,0,0,0,0,0,0.00,0,0
224,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1608,0,0,0,0,0,0,0,0.00,0,0
230,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1608,28,6,3,16,28,0,16,12.38,0,28
241,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1608,0,0,0,0,0,0,0,0.00,0,0
250,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1608,61,15,8,27,45,16,30,8,7,48
256,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1608,106,26,19,50,93,13,58,9.2,11,95
260,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,0,0,0,0,0,0,0,0.00,0,0
263,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,0,0,0,0,0,0,0,0.00,0,0
264,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,24,6,0,11,21,3,11,9.59,5,18
276,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,17,5,0,8,17,0,8,10.12,4,11
281,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,0,0,0,0,0,0,0,0.00,0,0
282,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,0,0,0,0,0,0,0,0.00,0,0
283,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,87,29,10,32,71,16,48,9.63,14,64
284,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,127,37,13,60,109,18,65,10,14,114
294,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,0,0,0,0,0,0,0,0.00,0,0
298,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,112,40,16,51,93,17,55,10.55,7,81
300,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,141,45,19,63,97,44,67,8.91,22,112
305,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1612,0,0,0,0,0,0,0,0.00,0,0
312,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1627,0,0,0,0,0,0,0,0.00,0,0
315,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1627,0,0,0,0,0,0,0,0.00,0,0
328,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1627,17,5,0,8,12,4,7,10.33,6,12
329,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1627,30,3,0,12,19,5,15,9.13,9,21
343,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1627,122,33,8,55,102,20,65,8.63,20,104
344,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1627,134,39,16,64,99,35,69,9.25,17,111
347,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1627,0,0,0,0,0,0,0,0.00,0,0
349,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1627,0,0,0,0,0,0,0,0.00,0,0
360,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1631,23,4,0,10,23,0,17,9.5,3,14
369,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1631,0,0,0,0,0,0,0,0.00,0,0
371,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1631,94,23,10,44,69,25,43,8.34,18,48
372,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1631,101,29,16,45,87,14,40,8.56,13,64
388,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1631,45,13,7,18,37,8,21,7.88,12,23
391,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1646,0,0,0,0,0,0,0,0.00,0,0
393,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña,1646,147,33,10,68,89,58,65,8.71,38,107
