,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,Poblacion Total,Mujeres de 12-49,Poblacion de 0 a 5,Personas Casadas,Personas c/religion,Personas s/religion,Personas Ocupadas,Prom. Grado Escolar,Personas S/Internet,Personas C/Servicio de Salud
14,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,63,22,8,25,56,7,24,9.8,6,46
23,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,52,20,8,20,52,0,23,10.26,5,42
25,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,237,78,30,88,233,4,101,9.07,43,180
31,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,0,0,0,0,0,0,0,0.00,0,0
42,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,0,0,0,0,0,0,0,0.00,0,0
47,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,0,0,0,0,0,0,0,0.00,0,0
49,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,0,0,0,0,0,0,0,0.00,0,0
53,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,0,0,0,0,0,0,0,0.00,0,0
55,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0095,0,0,0,0,0,0,0,0.00,0,0
62,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0108,111,36,10,52,111,0,58,9.84,9,84
73,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0108,199,51,16,76,185,14,105,9.21,29,169
82,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0108,258,78,27,101,245,13,147,8.59,47,215
92,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0108,0,0,0,0,0,0,0,0.00,0,0
111,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,253,80,27,109,243,10,135,10.47,26,194
113,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,86,28,10,35,86,0,40,10.44,10,49
115,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,194,49,20,82,185,9,92,8.79,35,141
117,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,0,0,0,0,0,0,0,0.00,0,0
123,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,69,20,7,25,69,0,34,7.06,10,50
124,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,169,60,14,64,169,0,82,9.23,20,124
126,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,69,22,9,32,69,0,27,6.94,10,60
143,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,0,0,0,0,0,0,0,0.00,0,0
145,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0112,0,0,0,0,0,0,0,0.00,0,0
158,22,Querétaro,1,Amealco de Bonfil,1,Amealco de Bonfil,0131,75,20,7,33,75,0,26,7.16,13,47
168,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,217,63,35,87,207,10,108,7.14,40,160
170,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,0,0,0,0,0,0,0,0.00,0,0
171,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,679,220,86,256,606,73,362,6.71,142,436
172,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,260,77,33,102,254,6,131,6.62,49,203
174,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,161,41,28,56,157,4,68,6.27,34,121
178,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,165,55,36,59,154,11,77,7.41,36,140
183,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,0,0,0,0,0,0,0,0.00,0,0
187,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,224,74,37,86,224,0,115,7.23,48,188
190,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,206,65,32,84,203,3,105,5.05,44,165
193,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,139,41,16,55,134,5,49,6.25,39,118
195,22,Querétaro,1,Amealco de Bonfil,39,San Ildefonso Tultepec (Centro),0061,195,55,35,80,191,4,107,5.63,56,167
221,22,Querétaro,2,Pinal de Amoles,1,Pinal de Amoles,0092,0,0,0,0,0,0,0,0.00,0,0
227,22,Querétaro,2,Pinal de Amoles,1,Pinal de Amoles,0092,76,24,14,24,69,6,29,7.65,13,59
232,22,Querétaro,2,Pinal de Amoles,1,Pinal de Amoles,0092,179,55,22,69,156,23,75,10.33,24,123
237,22,Querétaro,2,Pinal de Amoles,1,Pinal de Amoles,0092,195,61,31,73,185,10,76,9.5,40,140
243,22,Querétaro,2,Pinal de Amoles,1,Pinal de Amoles,0092,0,0,0,0,0,0,0,0.00,0,0
257,22,Querétaro,2,Pinal de Amoles,1,Pinal de Amoles,011A,309,111,35,129,287,21,119,9.26,59,306
261,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,49,18,7,19,49,0,17,9.21,7,49
265,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,17,3,3,8,17,0,10,10.93,4,9
269,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,0,0,0,0,0,0,0,0.00,0,0
274,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,32,11,3,14,28,4,12,10.6,6,30
280,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,119,36,16,43,119,0,45,8.16,16,101
283,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,18,5,0,9,15,3,9,8.47,5,13
288,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,0,0,0,0,0,0,0,0.00,0,0
294,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,0,0,0,0,0,0,0,0.00,0,0
295,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0117,0,0,0,0,0,0,0,0.00,0,0
308,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0121,0,0,0,0,0,0,0,0.00,0,0
321,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0121,0,0,0,0,0,0,0,0.00,0,0
325,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0121,0,0,0,0,0,0,0,0.00,0,0
328,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0121,0,0,0,0,0,0,0,0.00,0,0
336,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0136,26,9,7,6,26,0,11,9.79,4,20
338,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0140,0,0,0,0,0,0,0,0.00,0,0
340,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0140,0,0,0,0,0,0,0,0.00,0,0
341,22,Querétaro,3,Arroyo Seco,1,Arroyo Seco,0140,0,0,0,0,0,0,0,0.00,0,0
