ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas s/religion,Personas Ocupadas,Prom. Grado Escolar,Personas S/Internet,Personas C/Servicio de Salud
27,Tabasco,1,Balancán,1,Balancán,0401,5,38,110,9,97,46,13,60,11.53,16,80
27,Tabasco,1,Balancán,1,Balancán,0401,8,37,120,15,112,46,8,67,8.72,27,72
27,Tabasco,1,Balancán,1,Balancán,0401,9,24,87,13,76,26,11,40,10.98,18,46
27,Tabasco,1,Balancán,1,Balancán,0401,17,24,81,9,77,35,4,27,10.06,18,40
27,Tabasco,1,Balancán,1,Balancán,0401,18,15,56,7,51,26,5,27,10.05,14,39
27,Tabasco,1,Balancán,1,Balancán,0401,24,36,117,8,110,48,7,52,11.99,11,68
27,Tabasco,1,Balancán,1,Balancán,0401,25,35,126,14,123,49,3,56,10.38,26,121
27,Tabasco,1,Balancán,1,Balancán,0401,39,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0401,42,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0416,24,32,115,9,101,43,14,56,10.67,15,74
27,Tabasco,1,Balancán,1,Balancán,0416,32,25,80,4,68,42,6,64,10.88,7,55
27,Tabasco,1,Balancán,1,Balancán,0416,42,38,114,8,112,44,0,61,12.01,13,88
27,Tabasco,1,Balancán,1,Balancán,0416,43,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0416,45,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0416,46,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0420,5,11,50,8,41,19,9,24,12,4,43
27,Tabasco,1,Balancán,1,Balancán,0420,12,24,108,9,103,52,4,52,10.52,21,98
27,Tabasco,1,Balancán,1,Balancán,0420,15,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0420,25,54,187,13,179,89,7,92,8.41,50,181
27,Tabasco,1,Balancán,1,Balancán,0420,26,18,82,6,82,30,0,39,9.11,19,79
27,Tabasco,1,Balancán,1,Balancán,0420,36,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0420,43,62,194,14,187,79,7,96,10.49,26,173
27,Tabasco,1,Balancán,1,Balancán,0543,2,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0543,6,14,65,8,60,30,5,34,9.79,16,48
27,Tabasco,1,Balancán,1,Balancán,0543,11,88,295,26,255,110,40,133,9.68,63,181
27,Tabasco,1,Balancán,1,Balancán,0543,13,25,84,10,75,27,9,38,8.66,11,77
27,Tabasco,1,Balancán,1,Balancán,0543,14,37,121,14,104,55,17,61,10.07,21,71
27,Tabasco,1,Balancán,1,Balancán,0543,26,39,111,9,103,44,8,63,9.28,16,38
27,Tabasco,1,Balancán,1,Balancán,0558,2,45,156,13,135,66,21,107,10.65,22,120
27,Tabasco,1,Balancán,1,Balancán,0558,9,16,60,7,52,26,8,27,8.88,13,46
27,Tabasco,1,Balancán,1,Balancán,0558,19,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0558,20,45,140,20,131,61,9,64,10.88,15,70
27,Tabasco,1,Balancán,1,Balancán,0558,22,15,64,8,59,28,5,33,11,9,49
27,Tabasco,1,Balancán,1,Balancán,0558,23,44,126,14,119,50,7,63,13.48,11,100
27,Tabasco,1,Balancán,1,Balancán,0558,31,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,0562,1,17,57,8,51,27,6,25,11.14,10,41
27,Tabasco,1,Balancán,1,Balancán,0562,4,16,56,7,42,26,14,27,10.69,12,37
27,Tabasco,1,Balancán,1,Balancán,0562,6,62,218,24,189,97,29,112,10.56,35,154
27,Tabasco,1,Balancán,1,Balancán,0562,7,68,225,23,189,96,36,95,10.81,30,155
27,Tabasco,1,Balancán,1,Balancán,0562,12,30,96,12,90,50,6,49,10.35,19,80
27,Tabasco,1,Balancán,1,Balancán,0632,4,40,125,17,109,66,16,64,8.59,29,97
27,Tabasco,1,Balancán,1,Balancán,0647,1,19,46,8,32,18,14,22,9.59,10,45
27,Tabasco,1,Balancán,1,Balancán,0647,2,0,0,0,0,0,0,0,0.00,0,0
27,Tabasco,1,Balancán,1,Balancán,069A,1,0,0,0,0,0,0,0,0.00,0,0
