,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas Ocupadas,Prom. Grado Escolar,Personas C/Servicio de Salud
4,15.456863657515123,5.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
5,3.0,12.0,7.459091211939503,8.0,7.0,8.0,11.9,10.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.456863657515123,43.0,7.459091211939503,30.0,26.0,14.0,9.86,32.0
8,5.0,18.0,7.459091211939503,17.0,8.0,6.0,12.56,11.0
9,15.456863657515123,10.0,0.0,9.0,6.0,4.0,7.5,10.0
10,15.456863657515123,38.0,7.459091211939503,47.675835426737876,20.0,19.0,8.24,22.0
11,15.456863657515123,7.0,7.459091211939503,6.0,23.416772057729503,4.0,12.0,0.0
12,15.456863657515123,23.0,7.459091211939503,23.0,13.0,9.0,6.5,12.0
13,28.0,73.0,9.0,54.0,27.0,23.0,9.26,41.0
14,15.456863657515123,15.0,0.0,13.0,10.0,7.0,10.71,12.0
15,15.456863657515123,30.0,7.459091211939503,22.0,14.0,13.0,9.17,27.0
16,5.0,21.0,7.459091211939503,16.0,9.0,11.0,9.47,13.0
17,15.456863657515123,4.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
18,15.456863657515123,33.0,0.0,29.0,18.0,17.0,10.63,15.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,5.0,0.0,5.0,23.416772057729503,24.873125185625184,11.0,4.0
21,6.0,23.0,7.459091211939503,22.0,11.0,11.0,9.76,17.0
22,15.456863657515123,17.0,7.459091211939503,9.0,8.0,8.0,7.71,7.0
23,15.456863657515123,16.0,7.459091211939503,12.0,9.0,9.0,9.71,10.0
24,3.0,22.0,7.459091211939503,47.675835426737876,12.0,9.0,9.18,10.0
25,15.456863657515123,2.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
26,15.456863657515123,24.0,7.459091211939503,16.0,14.0,11.0,8.42,8.0
27,15.456863657515123,8.0,0.0,8.0,4.0,24.873125185625184,8.43,4.0
28,5.0,14.0,7.459091211939503,14.0,3.0,9.0,10.92,5.0
29,15.456863657515123,3.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
30,15.456863657515123,13.0,7.459091211939503,12.0,7.0,4.0,8.22,5.0
31,5.0,18.0,7.459091211939503,13.0,7.0,8.0,9.69,6.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,15.456863657515123,12.0,0.0,11.0,4.0,6.0,7.67,10.0
34,15.456863657515123,6.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
35,15.456863657515123,5.0,0.0,47.675835426737876,23.416772057729503,3.0,7.0,43.27141300936098
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,15.456863657515123,8.0,7.459091211939503,8.0,6.0,6.0,8.67,7.0
38,15.456863657515123,6.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
39,15.456863657515123,5.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
40,15.456863657515123,2.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
41,15.456863657515123,2.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,15.456863657515123,4.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,15.456863657515123,25.0,7.459091211939503,17.0,9.0,8.0,8.85,19.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,11.0,37.0,7.459091211939503,27.0,18.0,21.0,9.8,23.0
49,5.0,20.0,7.459091211939503,20.0,10.0,9.0,10.63,9.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,15.456863657515123,6.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
52,15.456863657515123,9.0,7.459091211939503,9.0,3.0,4.0,11.0,3.0
53,15.456863657515123,8.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
54,15.456863657515123,4.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
55,15.456863657515123,29.0,7.459091211939503,25.0,14.0,13.0,9.14,22.0
56,15.456863657515123,8.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
57,14.0,39.0,3.0,31.0,13.0,15.0,8.48,30.0
58,15.456863657515123,3.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
62,15.456863657515123,6.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
63,50.0,190.0,15.0,109.0,81.0,73.0,8.92,100.0
64,5.0,20.0,7.459091211939503,20.0,12.0,8.0,8.93,16.0
65,15.456863657515123,2.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
66,3.0,11.0,7.459091211939503,11.0,6.0,6.0,14.63,11.0
67,15.456863657515123,21.0,7.459091211939503,21.0,10.0,11.0,14.0,15.0
68,16.0,71.0,6.0,69.0,29.0,40.0,12.45,59.0
69,15.456863657515123,72.0,6.0,56.0,35.0,35.0,10.84,61.0
70,15.456863657515123,90.0,10.0,72.0,30.0,41.0,11.04,80.0
71,17.0,62.0,7.459091211939503,47.675835426737876,23.0,27.0,10.08,57.0
72,13.0,77.0,7.0,47.675835426737876,28.0,37.0,10.73,59.0
73,15.456863657515123,96.0,11.0,83.0,44.0,56.0,11.73,73.0
74,34.0,99.0,13.0,86.0,40.0,50.0,10.93,80.0
75,15.456863657515123,85.0,7.459091211939503,72.0,36.0,51.0,11.38,74.0
76,15.456863657515123,104.0,9.0,86.0,42.0,52.0,10.15,76.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,15.456863657515123,40.0,9.0,30.0,18.0,13.0,12.37,29.0
79,3.0,15.0,0.0,8.0,6.0,11.0,11.0,14.0
80,9.0,37.0,7.459091211939503,21.0,19.0,21.0,12.13,26.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,15.456863657515123,15.0,0.0,14.0,8.0,7.0,13.08,14.0
83,15.456863657515123,6.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,27.0,85.0,9.0,75.0,35.0,43.0,12.28,75.0
86,15.456863657515123,94.0,7.459091211939503,71.0,41.0,54.0,12.08,79.0
87,11.0,44.0,3.0,37.0,20.0,19.0,10.87,32.0
88,25.0,84.0,7.459091211939503,59.0,33.0,44.0,9.84,69.0
89,15.456863657515123,50.0,7.459091211939503,44.0,18.0,18.0,11.41,38.0
90,15.0,60.0,7.459091211939503,55.0,28.0,26.0,11.09,44.0
91,3.0,20.0,3.0,19.0,6.0,9.0,10.13,15.0
92,15.456863657515123,4.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
93,15.456863657515123,9.0,0.0,7.0,23.416772057729503,6.0,8.78,9.0
94,15.456863657515123,1.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
95,15.456863657515123,6.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,3.0,11.0,7.459091211939503,11.0,8.0,6.0,16.0,11.0
98,4.0,12.0,7.459091211939503,47.675835426737876,5.0,5.0,12.75,6.0
99,15.456863657515123,54.0,7.459091211939503,44.0,30.0,30.0,13.02,51.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,15.456863657515123,49.0,7.459091211939503,39.0,21.0,24.0,9.32,31.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,14.0,49.0,7.459091211939503,42.0,19.0,25.0,8.69,41.0
107,15.456863657515123,59.0,7.459091211939503,47.0,32.0,31.0,9.33,43.0
108,15.456863657515123,41.0,7.459091211939503,32.0,16.0,29.0,7.26,34.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,9.0,47.0,7.459091211939503,41.0,22.0,23.0,9.7,39.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,15.456863657515123,36.0,7.459091211939503,28.0,18.0,19.0,9.79,24.0
115,7.0,36.0,7.459091211939503,32.0,18.0,14.0,9.39,26.0
116,15.456863657515123,49.0,7.459091211939503,46.0,24.0,27.0,9.54,37.0
117,14.0,60.0,7.459091211939503,56.0,37.0,38.0,10.04,52.0
118,15.456863657515123,44.0,10.0,36.0,15.0,22.0,9.88,41.0
